dH	delta_dH
-229.23140936915428	-8.709982695846492
-239.2322290448223	1.2908369798215347
-234.2319410368338	-3.709451028166967
-244.2301640724449	6.288772007444123
-230.4818351033859	-7.459556961614879
-240.48222543073638	2.540833365735608
-235.4826791830232	-2.4587128819775614
-245.48316935782117	7.541777292820399
-232.98301395973743	-4.9583781052633356
-242.98138476152366	5.039992696522887
-227.98186421648956	-9.959527848511215
-237.98065075676953	0.039258691768765175
-232.96137809313944	-4.980013971861325
-242.9609205494143	5.0195284844135415
-227.96109105170757	-9.9803010132932
-237.9622773180908	0.020885253090028755
-230.46166492837932	-7.479727136621449
-240.46184631733098	2.520454252330211
-235.46395620613288	-2.477435858867892
-245.46300430754667	7.521612242545899
-229.21069670864557	-8.730695356355199
-239.21044793968753	1.2690558746867566
-234.21194012879454	-3.7294519362062317
-244.21191393543444	6.270521870433669
-236.71071361106254	-1.230678453938225
-246.7106408490326	8.769248784031817
-231.710760861506	-6.230631203494767
-241.71133933729283	3.7699472722920575
-232.33303960427386	-5.6083524607269055
-242.33098693608466	4.389594871083887
-237.33242424245603	-0.6089678225447415
-247.33176219310877	9.390370128108003
-234.82994807333765	-3.1114439916631227
-244.8305102097393	6.889118144738518
-229.83229259903334	-8.109099465967432
-239.83227412547333	1.8908820604725634
-236.08073553968464	-1.8606565253161307
-246.0798867694785	8.138494704477722
-231.08194804126381	-6.859444023736955
-241.08204882244084	3.1406567574400697
-228.58050395694505	-9.360888108055718
-238.58084327669988	0.6394512116991109
-233.58225330376084	-4.359138761239933
-243.58232034306187	5.6409282780610965
-228.27209647391874	-9.669295591082033
-238.27347129905047	0.33207923404970074
-233.27266639066193	-4.6687256743388446
-243.2719626929761	5.330570627975334
-235.77037482696733	-2.1710172380334427
-245.77037633448026	7.828984269479491
-230.77006382195623	-7.171328243044542
-240.77155467977764	2.8301626147768673
-234.52260379340305	-3.4187882715977196
-244.52294222635146	6.581550161350691
-229.5195667040066	-8.421825360994177
-239.51989422547604	1.5785021604752671
-232.02072032120896	-5.920671743791814
-242.0197737628264	4.07838169782562
-237.0207706652077	-0.9206213997930774
-247.02040871486724	9.079016649866475
-237.65175435710205	-0.28963770789872
-247.65201271044077	9.710620645440002
-232.6525646891963	-5.288827375804459
-242.65036006092043	4.708967995919664
-230.15082210603248	-7.790569958968291
-240.15157238638437	2.2101803213836035
-235.1532097627636	-2.788182302237175
-245.15087559375695	7.209483528756181
-231.4016764577176	-6.539715607283171
-241.40312776075268	3.461735695751912
-236.4012684173025	-1.540123647698266
-246.4013429427754	8.459950877774617
